nombre,descripcion,precio,stock,categoria
SSD v93,Lote tecnologico 93,"681,25",100,Hardware
RAM v94,Lote tecnologico 94,"807,84",143,Licencias
Monitor v95,Lote tecnologico 95,"1486,32",193,Licencias
Mouse v96,Lote tecnologico 96,"1021,43",151,Software
Laptop v97,Lote tecnologico 97,"1382,53",100,Software
Mouse v98,Lote tecnologico 98,"480,47",94,Licencias
SSD v99,Lote tecnologico 99,"250,41",175,Hardware
Teclado v100,Lote tecnologico 100,"839,8",187,Software
RAM v101,Lote tecnologico 101,"229,39",22,Software
RAM v102,Lote tecnologico 102,"550,72",158,Hardware
Monitor v103,Lote tecnologico 103,"1013,87",117,Servicios
SSD v104,Lote tecnologico 104,"1495,8",108,Servicios
Monitor v105,Lote tecnologico 105,"645,41",193,Software
RAM v106,Lote tecnologico 106,"825,5",81,Software
Laptop v107,Lote tecnologico 107,"1266,11",4,Hardware
Mouse v108,Lote tecnologico 108,"267,81",107,Licencias
Monitor v109,Lote tecnologico 109,"833,81",2,Software
Teclado v110,Lote tecnologico 110,"379,2",32,Licencias
Teclado v111,Lote tecnologico 111,"1002,31",74,Hardware
SSD v112,Lote tecnologico 112,"280,43",88,Hardware
Laptop v113,Lote tecnologico 113,"97,31",6,Software
Teclado v114,Lote tecnologico 114,"58,55",101,Software
Monitor v115,Lote tecnologico 115,"191,37",15,Servicios
RAM v116,Lote tecnologico 116,"313,06",186,Hardware
Mouse v117,Lote tecnologico 117,"977,15",158,Licencias
Monitor v118,Lote tecnologico 118,"803,41",170,Hardware
Teclado v119,Lote tecnologico 119,"440,11",113,Software
Monitor v120,Lote tecnologico 120,"392,15",117,Software
Mouse v121,Lote tecnologico 121,"806,6",190,Servicios
Mouse v122,Lote tecnologico 122,"456,04",71,Software
RAM v123,Lote tecnologico 123,"123,77",24,Servicios
SSD v124,Lote tecnologico 124,"797,99",57,Licencias
RAM v125,Lote tecnologico 125,"965,76",138,Licencias
Laptop v126,Lote tecnologico 126,"293,59",149,Hardware
Laptop v127,Lote tecnologico 127,"516,55",161,Licencias
SSD v128,Lote tecnologico 128,"552,4",17,Software
SSD v129,Lote tecnologico 129,"1241,52",16,Hardware
Mouse v130,Lote tecnologico 130,"270,72",123,Hardware
Teclado v131,Lote tecnologico 131,"315,7",71,Hardware
RAM v132,Lote tecnologico 132,"1042,37",182,Software
Teclado v133,Lote tecnologico 133,"396,91",174,Licencias
Mouse v134,Lote tecnologico 134,"1350,21",2,Software
Laptop v135,Lote tecnologico 135,"1085,14",116,Licencias
Monitor v136,Lote tecnologico 136,"224,46",52,Hardware
RAM v137,Lote tecnologico 137,"369,8",181,Servicios
SSD v138,Lote tecnologico 138,"667,15",63,Hardware
Laptop v139,Lote tecnologico 139,"689,3",102,Software
Teclado v140,Lote tecnologico 140,"1374,41",12,Hardware
SSD v141,Lote tecnologico 141,"819,77",147,Hardware
SSD v142,Lote tecnologico 142,"552,01",25,Servicios
Mouse v143,Lote tecnologico 143,"516,35",29,Servicios
RAM v144,Lote tecnologico 144,"533,22",78,Software
Laptop v145,Lote tecnologico 145,"529,56",183,Servicios
Mouse v146,Lote tecnologico 146,"257,76",130,Servicios
Mouse v147,Lote tecnologico 147,"910,22",192,Hardware
Laptop v148,Lote tecnologico 148,"1232,57",191,Software
RAM v149,Lote tecnologico 149,"290,03",154,Software
RAM v150,Lote tecnologico 150,"684,07",119,Hardware
Teclado v151,Lote tecnologico 151,"440,9",79,Licencias
RAM v152,Lote tecnologico 152,"1318,08",111,Software
Laptop v153,Lote tecnologico 153,"967,85",175,Servicios
SSD v154,Lote tecnologico 154,"1181,25",148,Hardware
Mouse v155,Lote tecnologico 155,"215,67",138,Hardware
RAM v156,Lote tecnologico 156,"1097,6",190,Software
RAM v157,Lote tecnologico 157,"1289,02",157,Licencias
SSD v158,Lote tecnologico 158,"1348,46",146,Licencias
RAM v159,Lote tecnologico 159,"180,47",194,Licencias
Laptop v160,Lote tecnologico 160,"696,03",186,Hardware
SSD v161,Lote tecnologico 161,"1372,36",98,Hardware
Mouse v162,Lote tecnologico 162,"498,03",36,Software
Mouse v163,Lote tecnologico 163,"734,07",9,Software
RAM v164,Lote tecnologico 164,"411,73",60,Software
RAM v165,Lote tecnologico 165,"1497,09",85,Software
Laptop v166,Lote tecnologico 166,"290,26",185,Software
Laptop v167,Lote tecnologico 167,"118,79",101,Software
SSD v168,Lote tecnologico 168,"1433,09",80,Software
SSD v169,Lote tecnologico 169,"196,46",51,Servicios
Mouse v170,Lote tecnologico 170,"1419,3",13,Software
Mouse v171,Lote tecnologico 171,"259,19",98,Licencias
Laptop v172,Lote tecnologico 172,1117,174,Hardware
Teclado v173,Lote tecnologico 173,"1201,07",60,Servicios
Laptop v174,Lote tecnologico 174,"900,93",55,Servicios
Mouse v175,Lote tecnologico 175,"393,07",146,Hardware
Mouse v176,Lote tecnologico 176,"1196,56",179,Software
Monitor v177,Lote tecnologico 177,"1190,76",49,Software
Mouse v178,Lote tecnologico 178,"1041,57",147,Hardware
Monitor v179,Lote tecnologico 179,"1466,02",89,Software
Laptop v180,Lote tecnologico 180,"940,6",130,Hardware
SSD v181,Lote tecnologico 181,"87,69",33,Software
RAM v182,Lote tecnologico 182,"768,83",115,Licencias
RAM v183,Lote tecnologico 183,"173,18",180,Software
Mouse v184,Lote tecnologico 184,"1394,76",182,Servicios
Monitor v185,Lote tecnologico 185,"87,15",161,Software
Mouse v186,Lote tecnologico 186,"1031,9",3,Servicios
Laptop v187,Lote tecnologico 187,"483,3",47,Hardware
Mouse v188,Lote tecnologico 188,"430,53",103,Servicios
Mouse v189,Lote tecnologico 189,"129,52",193,Software
Laptop v190,Lote tecnologico 190,"1050,08",117,Hardware
Teclado v191,Lote tecnologico 191,"842,5",85,Software
SSD v192,Lote tecnologico 192,"1383,5",182,Software
SSD v193,Lote tecnologico 193,"147,22",65,Software
Laptop v194,Lote tecnologico 194,"1293,9",66,Hardware
Mouse v195,Lote tecnologico 195,"1261,14",150,Servicios
Teclado v196,Lote tecnologico 196,"1499,42",95,Servicios
Teclado v197,Lote tecnologico 197,"710,59",53,Servicios
Monitor v198,Lote tecnologico 198,"549,52",116,Servicios
SSD v199,Lote tecnologico 199,"573,78",104,Servicios
RAM v200,Lote tecnologico 200,"777,54",37,Licencias
SSD v201,Lote tecnologico 201,"866,15",180,Licencias
Monitor v202,Lote tecnologico 202,"556,68",87,Software
RAM v203,Lote tecnologico 203,"396,3",64,Licencias
RAM v204,Lote tecnologico 204,"1290,11",91,Servicios
RAM v205,Lote tecnologico 205,"722,22",141,Licencias
Monitor v206,Lote tecnologico 206,"239,29",25,Licencias
Laptop v207,Lote tecnologico 207,"352,41",4,Licencias
Monitor v208,Lote tecnologico 208,"1225,6",27,Hardware
Laptop v209,Lote tecnologico 209,"174,57",47,Hardware
Laptop v210,Lote tecnologico 210,"1112,96",108,Servicios
Monitor v211,Lote tecnologico 211,"392,58",182,Servicios
Mouse v212,Lote tecnologico 212,"802,1",24,Software
SSD v213,Lote tecnologico 213,664,30,Software
Teclado v214,Lote tecnologico 214,"308,49",82,Software
Laptop v215,Lote tecnologico 215,"894,51",11,Licencias
Mouse v216,Lote tecnologico 216,"51,36",154,Servicios
Monitor v217,Lote tecnologico 217,"292,95",72,Servicios
Laptop v218,Lote tecnologico 218,"1163,03",102,Software
RAM v219,Lote tecnologico 219,"926,5",89,Hardware
RAM v220,Lote tecnologico 220,"662,04",142,Hardware
RAM v221,Lote tecnologico 221,"1168,7",130,Licencias
SSD v222,Lote tecnologico 222,"851,52",13,Servicios
Monitor v223,Lote tecnologico 223,"1027,11",102,Licencias
Mouse v224,Lote tecnologico 224,"1496,61",164,Software
Monitor v225,Lote tecnologico 225,"1002,55",140,Licencias
SSD v226,Lote tecnologico 226,"342,82",142,Hardware
Teclado v227,Lote tecnologico 227,"769,97",95,Licencias
SSD v228,Lote tecnologico 228,"926,78",191,Hardware
RAM v229,Lote tecnologico 229,"1490,12",191,Hardware
RAM v230,Lote tecnologico 230,"664,48",174,Software
Laptop v231,Lote tecnologico 231,"560,43",95,Software
Mouse v232,Lote tecnologico 232,"1311,41",148,Licencias
Mouse v233,Lote tecnologico 233,"1410,16",38,Hardware
RAM v234,Lote tecnologico 234,"968,36",56,Hardware
Laptop v235,Lote tecnologico 235,"961,4",82,Servicios
Teclado v236,Lote tecnologico 236,"1288,09",70,Hardware
SSD v237,Lote tecnologico 237,"1002,73",125,Licencias
RAM v238,Lote tecnologico 238,"778,44",53,Hardware
Mouse v239,Lote tecnologico 239,"645,4",194,Software
SSD v240,Lote tecnologico 240,"265,42",16,Servicios
RAM v241,Lote tecnologico 241,"1002,48",153,Licencias
Monitor v242,Lote tecnologico 242,"823,46",24,Licencias
Laptop v243,Lote tecnologico 243,"1318,72",170,Hardware
Mouse v244,Lote tecnologico 244,"762,1",50,Servicios
Monitor v245,Lote tecnologico 245,"871,97",29,Hardware
SSD v246,Lote tecnologico 246,"1201,74",25,Hardware
Laptop v247,Lote tecnologico 247,"885,46",95,Hardware
SSD v248,Lote tecnologico 248,"959,38",62,Hardware
Monitor v249,Lote tecnologico 249,"551,51",177,Licencias
Teclado v250,Lote tecnologico 250,"547,81",195,Licencias
Teclado v251,Lote tecnologico 251,"629,78",55,Software
RAM v252,Lote tecnologico 252,"345,57",33,Software
RAM v253,Lote tecnologico 253,"1465,44",5,Software
Mouse v254,Lote tecnologico 254,"794,34",169,Hardware
Monitor v255,Lote tecnologico 255,"664,53",140,Hardware
Monitor v256,Lote tecnologico 256,"1459,14",27,Licencias
RAM v257,Lote tecnologico 257,"978,43",27,Licencias
Laptop v258,Lote tecnologico 258,"775,6",62,Licencias
RAM v259,Lote tecnologico 259,"1088,76",55,Licencias
Monitor v260,Lote tecnologico 260,"621,83",129,Hardware
Teclado v261,Lote tecnologico 261,"1444,75",44,Software
Teclado v262,Lote tecnologico 262,"1108,29",196,Licencias
RAM v263,Lote tecnologico 263,"461,2",64,Hardware
Mouse v264,Lote tecnologico 264,"167,11",5,Servicios
Laptop v265,Lote tecnologico 265,"541,01",159,Licencias
SSD v266,Lote tecnologico 266,"1470,1",165,Software
Monitor v267,Lote tecnologico 267,"1225,93",182,Hardware
Mouse v268,Lote tecnologico 268,"590,98",6,Hardware
Teclado v269,Lote tecnologico 269,"717,89",113,Hardware
Laptop v270,Lote tecnologico 270,"1449,3",149,Servicios
Teclado v271,Lote tecnologico 271,"128,55",105,Servicios
SSD v272,Lote tecnologico 272,"550,16",123,Licencias
Monitor v273,Lote tecnologico 273,"520,98",35,Servicios
Teclado v274,Lote tecnologico 274,"941,1",57,Software
RAM v275,Lote tecnologico 275,"698,97",125,Licencias
Mouse v276,Lote tecnologico 276,"1352,81",153,Software
Laptop v277,Lote tecnologico 277,"1077,22",113,Software
Laptop v278,Lote tecnologico 278,"636,44",82,Software
Monitor v279,Lote tecnologico 279,"519,52",51,Software
Monitor v280,Lote tecnologico 280,"1110,92",175,Licencias
Teclado v281,Lote tecnologico 281,"355,34",99,Software
Teclado v282,Lote tecnologico 282,"1114,8",59,Software
Monitor v283,Lote tecnologico 283,"673,83",97,Software
Mouse v284,Lote tecnologico 284,"78,83",12,Software
SSD v285,Lote tecnologico 285,"268,31",61,Servicios
RAM v286,Lote tecnologico 286,"614,95",55,Software
RAM v287,Lote tecnologico 287,"281,22",136,Licencias
RAM v288,Lote tecnologico 288,"444,83",171,Servicios
SSD v289,Lote tecnologico 289,"309,64",100,Servicios
Teclado v290,Lote tecnologico 290,"749,44",14,Licencias
Monitor v291,Lote tecnologico 291,"63,08",12,Servicios
SSD v292,Lote tecnologico 292,"1137,54",97,Licencias
Teclado v293,Lote tecnologico 293,"1098,23",32,Servicios
Teclado v294,Lote tecnologico 294,"521,35",9,Hardware
Mouse v295,Lote tecnologico 295,"204,8",125,Licencias
Teclado v296,Lote tecnologico 296,"1431,49",144,Licencias
Mouse v297,Lote tecnologico 297,"1277,23",76,Servicios
RAM v298,Lote tecnologico 298,"699,93",45,Hardware
Teclado v299,Lote tecnologico 299,"1221,18",172,Hardware
Monitor v300,Lote tecnologico 300,"981,74",76,Software
Monitor v301,Lote tecnologico 301,"1120,01",0,Servicios
Mouse v302,Lote tecnologico 302,"253,03",78,Hardware
Mouse v303,Lote tecnologico 303,"902,57",178,Software
RAM v304,Lote tecnologico 304,"727,7",135,Servicios
Laptop v305,Lote tecnologico 305,"1038,75",113,Software
Laptop v306,Lote tecnologico 306,"831,35",114,Hardware
Monitor v307,Lote tecnologico 307,"1287,96",120,Licencias
Mouse v308,Lote tecnologico 308,"324,96",196,Hardware
Teclado v309,Lote tecnologico 309,"722,74",21,Hardware
Teclado v310,Lote tecnologico 310,"339,24",185,Software
Monitor v311,Lote tecnologico 311,"765,97",158,Licencias
RAM v312,Lote tecnologico 312,"407,45",104,Servicios
SSD v313,Lote tecnologico 313,"709,79",50,Software
RAM v314,Lote tecnologico 314,"214,4",19,Hardware
Laptop v315,Lote tecnologico 315,"1242,21",184,Hardware
Teclado v316,Lote tecnologico 316,"327,88",143,Licencias
SSD v317,Lote tecnologico 317,"1309,94",85,Servicios
RAM v318,Lote tecnologico 318,"951,43",89,Licencias
Mouse v319,Lote tecnologico 319,"913,73",128,Hardware
Teclado v320,Lote tecnologico 320,"1430,54",54,Hardware
Monitor v321,Lote tecnologico 321,"1226,16",82,Servicios
Laptop v322,Lote tecnologico 322,"1179,56",103,Servicios
RAM v323,Lote tecnologico 323,"1131,12",24,Hardware
SSD v324,Lote tecnologico 324,"727,4",106,Software
RAM v325,Lote tecnologico 325,"1061,91",43,Hardware
Teclado v326,Lote tecnologico 326,"857,1",99,Software
Laptop v327,Lote tecnologico 327,"563,91",74,Servicios
Teclado v328,Lote tecnologico 328,"346,84",117,Servicios
Mouse v329,Lote tecnologico 329,"1476,42",105,Hardware
RAM v330,Lote tecnologico 330,"936,12",131,Hardware
SSD v331,Lote tecnologico 331,"1088,15",67,Software
Monitor v332,Lote tecnologico 332,"1078,43",21,Licencias
Teclado v333,Lote tecnologico 333,"418,45",71,Licencias
Monitor v334,Lote tecnologico 334,"418,14",165,Licencias
Laptop v335,Lote tecnologico 335,"713,09",99,Licencias
Teclado v336,Lote tecnologico 336,"792,22",133,Software
SSD v337,Lote tecnologico 337,"115,92",83,Licencias
Laptop v338,Lote tecnologico 338,"845,65",41,Licencias
Laptop v339,Lote tecnologico 339,"1309,24",171,Servicios
Teclado v340,Lote tecnologico 340,"192,88",130,Licencias
Teclado v341,Lote tecnologico 341,"1189,68",154,Servicios
RAM v342,Lote tecnologico 342,"585,64",177,Licencias
RAM v343,Lote tecnologico 343,"473,33",173,Hardware
RAM v344,Lote tecnologico 344,"1492,3",187,Software
Monitor v345,Lote tecnologico 345,"667,88",145,Software
Mouse v346,Lote tecnologico 346,"1412,86",65,Licencias
RAM v347,Lote tecnologico 347,"204,41",145,Servicios
SSD v348,Lote tecnologico 348,"1436,64",72,Software
Teclado v349,Lote tecnologico 349,"430,13",94,Hardware
Laptop v350,Lote tecnologico 350,"1000,24",7,Licencias
SSD v351,Lote tecnologico 351,"471,06",68,Servicios
Monitor v352,Lote tecnologico 352,"226,32",156,Licencias
Laptop v353,Lote tecnologico 353,"1035,41",16,Hardware
Teclado v354,Lote tecnologico 354,"619,98",78,Licencias
Laptop v355,Lote tecnologico 355,"1080,17",99,Servicios
Laptop v356,Lote tecnologico 356,"116,34",11,Licencias
Laptop v357,Lote tecnologico 357,"142,1",47,Licencias
SSD v358,Lote tecnologico 358,"754,02",142,Servicios
Laptop v359,Lote tecnologico 359,"651,23",79,Licencias
Monitor v360,Lote tecnologico 360,"820,87",104,Hardware
RAM v361,Lote tecnologico 361,"296,1",167,Software
Laptop v362,Lote tecnologico 362,"298,97",178,Hardware
Mouse v363,Lote tecnologico 363,"1416,27",29,Licencias
Monitor v364,Lote tecnologico 364,"1243,7",23,Servicios
Mouse v365,Lote tecnologico 365,"793,29",4,Hardware
Monitor v366,Lote tecnologico 366,"186,08",181,Licencias
SSD v367,Lote tecnologico 367,"620,32",53,Hardware
Teclado v368,Lote tecnologico 368,"708,05",0,Servicios
RAM v369,Lote tecnologico 369,"389,13",145,Licencias
Mouse v370,Lote tecnologico 370,"941,9",89,Licencias
Laptop v371,Lote tecnologico 371,"857,13",111,Servicios
Mouse v372,Lote tecnologico 372,"891,07",97,Licencias
Monitor v373,Lote tecnologico 373,"185,01",89,Servicios
RAM v374,Lote tecnologico 374,"674,38",2,Servicios
RAM v375,Lote tecnologico 375,"58,79",143,Licencias
Laptop v376,Lote tecnologico 376,"721,26",142,Software
Teclado v377,Lote tecnologico 377,"1422,49",34,Software
Mouse v378,Lote tecnologico 378,"1037,37",84,Licencias
Mouse v379,Lote tecnologico 379,"320,1",172,Servicios
Monitor v380,Lote tecnologico 380,"704,24",142,Licencias
RAM v381,Lote tecnologico 381,"1479,16",146,Licencias
Monitor v382,Lote tecnologico 382,"263,16",29,Software
RAM v383,Lote tecnologico 383,"1249,18",38,Software
Mouse v384,Lote tecnologico 384,"430,86",113,Hardware
Mouse v385,Lote tecnologico 385,"737,32",125,Licencias
SSD v386,Lote tecnologico 386,"1198,02",69,Hardware
RAM v387,Lote tecnologico 387,"614,07",124,Servicios
RAM v388,Lote tecnologico 388,"681,32",110,Servicios
RAM v389,Lote tecnologico 389,"655,02",93,Servicios
Teclado v390,Lote tecnologico 390,"156,93",13,Software
Laptop v391,Lote tecnologico 391,"978,72",17,Software
Monitor v392,Lote tecnologico 392,"1427,21",18,Hardware
Monitor v393,Lote tecnologico 393,"330,78",29,Hardware
RAM v394,Lote tecnologico 394,"60,49",59,Licencias
SSD v395,Lote tecnologico 395,"569,46",28,Licencias
Mouse v396,Lote tecnologico 396,"732,64",155,Hardware
SSD v397,Lote tecnologico 397,"778,31",172,Licencias
Monitor v398,Lote tecnologico 398,"815,13",44,Servicios
Mouse v399,Lote tecnologico 399,"93,43",71,Software
Mouse v400,Lote tecnologico 400,"668,13",116,Hardware
Mouse v401,Lote tecnologico 401,"1025,49",80,Hardware
SSD v402,Lote tecnologico 402,"473,92",1,Software
Teclado v403,Lote tecnologico 403,"692,17",63,Servicios
SSD v404,Lote tecnologico 404,"960,09",19,Licencias
Laptop v405,Lote tecnologico 405,"893,1",31,Hardware
Teclado v406,Lote tecnologico 406,"1253,63",1,Hardware
Monitor v407,Lote tecnologico 407,"1459,93",39,Servicios
SSD v408,Lote tecnologico 408,491,1,Software
Monitor v409,Lote tecnologico 409,"1175,32",139,Licencias
Monitor v410,Lote tecnologico 410,"389,82",134,Software
Laptop v411,Lote tecnologico 411,"1005,7",18,Hardware
SSD v412,Lote tecnologico 412,"1449,11",109,Licencias
RAM v413,Lote tecnologico 413,"993,9",78,Servicios
Monitor v414,Lote tecnologico 414,"1461,69",37,Software
SSD v415,Lote tecnologico 415,"1430,71",88,Hardware
Teclado v416,Lote tecnologico 416,"1027,63",171,Hardware
SSD v417,Lote tecnologico 417,"1142,77",97,Servicios
Laptop v418,Lote tecnologico 418,"718,7",75,Hardware
Mouse v419,Lote tecnologico 419,"728,34",37,Licencias
Laptop v420,Lote tecnologico 420,"501,11",43,Licencias
Mouse v421,Lote tecnologico 421,"896,79",7,Licencias
Teclado v422,Lote tecnologico 422,"544,53",168,Servicios
RAM v423,Lote tecnologico 423,"837,92",134,Licencias
Laptop v424,Lote tecnologico 424,"1096,79",161,Licencias
Monitor v425,Lote tecnologico 425,"1468,54",85,Servicios
SSD v426,Lote tecnologico 426,"1315,13",9,Servicios
Monitor v427,Lote tecnologico 427,"578,36",192,Licencias
Mouse v428,Lote tecnologico 428,"1290,21",34,Licencias
SSD v429,Lote tecnologico 429,"1382,41",105,Licencias
Mouse v430,Lote tecnologico 430,"905,42",160,Licencias
RAM v431,Lote tecnologico 431,"1057,68",53,Software
Mouse v432,Lote tecnologico 432,"1078,03",54,Licencias
RAM v433,Lote tecnologico 433,"1240,25",6,Servicios
Teclado v434,Lote tecnologico 434,"1258,64",2,Servicios
SSD v435,Lote tecnologico 435,"1211,64",117,Software
Monitor v436,Lote tecnologico 436,"881,78",162,Licencias
SSD v437,Lote tecnologico 437,"742,6",15,Licencias
Monitor v438,Lote tecnologico 438,"873,71",72,Hardware
SSD v439,Lote tecnologico 439,"255,25",185,Hardware
RAM v440,Lote tecnologico 440,"1167,13",77,Software
Laptop v441,Lote tecnologico 441,"277,93",104,Hardware
SSD v442,Lote tecnologico 442,"673,34",2,Software
SSD v443,Lote tecnologico 443,"1295,51",192,Software
Mouse v444,Lote tecnologico 444,"1110,51",19,Software
Laptop v445,Lote tecnologico 445,"248,12",50,Licencias
Laptop v446,Lote tecnologico 446,"309,39",156,Licencias
Monitor v447,Lote tecnologico 447,"481,53",35,Servicios
SSD v448,Lote tecnologico 448,"78,89",59,Servicios
RAM v449,Lote tecnologico 449,698,10,Servicios
SSD v450,Lote tecnologico 450,"401,55",103,Software
RAM v451,Lote tecnologico 451,"137,97",65,Hardware
RAM v452,Lote tecnologico 452,"238,07",31,Hardware
Laptop v453,Lote tecnologico 453,"211,47",73,Servicios
RAM v454,Lote tecnologico 454,"1051,12",93,Hardware
RAM v455,Lote tecnologico 455,"1392,87",107,Servicios
SSD v456,Lote tecnologico 456,"727,91",41,Servicios
Laptop v457,Lote tecnologico 457,"206,58",111,Hardware
Laptop v458,Lote tecnologico 458,"1400,32",133,Servicios
Monitor v459,Lote tecnologico 459,"263,81",153,Servicios
Teclado v460,Lote tecnologico 460,"841,09",135,Licencias
Monitor v461,Lote tecnologico 461,"950,47",63,Servicios
SSD v462,Lote tecnologico 462,"1014,9",73,Licencias
Mouse v463,Lote tecnologico 463,"541,89",161,Servicios
Mouse v464,Lote tecnologico 464,"1088,74",180,Licencias
Laptop v465,Lote tecnologico 465,"438,57",69,Hardware
RAM v466,Lote tecnologico 466,"139,59",197,Software
Teclado v467,Lote tecnologico 467,"1183,44",28,Hardware
Monitor v468,Lote tecnologico 468,"925,58",80,Servicios
SSD v469,Lote tecnologico 469,"282,52",22,Licencias
RAM v470,Lote tecnologico 470,"650,98",111,Hardware
RAM v471,Lote tecnologico 471,"758,7",172,Licencias
SSD v472,Lote tecnologico 472,"1279,39",100,Servicios
SSD v473,Lote tecnologico 473,"1403,14",38,Software
